smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,4.305900000000004,366.50100000000015,43.370000000000005,0,3,0,0.6002668837960434,5.424423899519918
C=C1CC[C@@H]2[C@H](CC2(C)C)C(=O)CC[C@H]1O,2.708900000000001,222.32799999999995,37.3,1,2,0,0.6398062683944067,4.375490961809449
C=C1[C@H](O)C[C@@]2(C(C)C)C[C@@H]12,1.9695,152.237,20.23,1,1,1,0.5694521169908489,4.761195337552392
CC1=C2[C@H](CC1)[C@H](C)CC[C@@H]1[C@H]2C1(C)C,4.415000000000004,204.357,0.0,0,0,0,0.5125130456348208,4.03598764638362
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C1CC1C2(C)C,4.028720000000003,292.33400000000006,47.28,0,3,0,0.6887075835817743,3.9942274400142335
C=C(C)C1CCC(=C)C2CCC(C)C2C1,4.581100000000004,204.35699999999997,0.0,0,0,1,0.5483417415124203,4.13432573268756
C=C1C[C@@]2(O)O[C@@]3(C[C@H]2C(C)C)[C@@H](C)CC[C@@H]13,3.112300000000002,236.35499999999996,29.46,1,2,1,0.708825985247201,6.0963369340735225
CC1=C[C@@]2(O)O[C@@]3(CC2=C(C)C)[C@@H](C)CC[C@@H]13,3.1765000000000017,234.33899999999997,29.46,1,2,0,0.6522748117901775,6.025488653592865
C=C1[C@H]2C[C@H]2[C@]2(C)Cc3occ(C)c3[C@H](O)[C@@H]12,3.0059200000000015,230.307,33.370000000000005,1,2,0,0.6949665807583025,4.956131651929857
C[C@@H]1CC[C@@H]2[C@H](C3=C1CC[C@H]3C)C2(C)C,4.415000000000004,204.35699999999997,0.0,0,0,0,0.5125130456348208,4.305808659516829
CC1(C)CCC[C@@]2(C)[C@@H]3C[C@@H]4[C@H]([C@@H]31)[C@]42C,4.104800000000004,204.357,0.0,0,0,0,0.556943050536437,5.857049642370603
COC(=O)/C(C)=C1\C(=O)[C@H](O)[C@]2(C)C3=C(C[C@@H]4[C@]5(OC(=O)C(CO)=C5C[C@H]5[C@H](COC(C)=O)[C@H]6C[C@H]6[C@]45C)[C@H]31)[C@H]1C[C@H]12,2.4478999999999997,578.6580000000004,136.43,2,9,4,0.22311144736052402,6.522549779075298
C/C=C(\C)C(=O)OC[C@]1(O)[C@H]2C[C@H]2[C@]2(C)[C@@H]3C[C@@]4(O)C5=C(/C(=C(\C)C(=O)OC)C(=O)[C@H](O)[C@@]5(C)[C@@H]5C[C@@H]54)[C@@]34OC(=O)C(COC(C)=O)=C4C[C@@H]12,2.194799999999999,692.7580000000002,182.95999999999998,3,12,6,0.21000483826156702,6.789805204598559
CC(C)[C@]12CC[C@@]3(C)O[C@H]3[C@H]1O2,1.7312999999999998,168.236,25.06,0,2,1,0.5569799156569278,4.705891637341625
C1CCCCCC2CC2CCCC1,4.537100000000004,180.33499999999995,0.0,0,0,0,0.5132715313623106,2.8059904286134554
